TÉRMINO                                                   FREQ  RAZÓN
discordancia                                                 1  POS: token único POS=NOUN
árbitro                                                      1  POS: token único POS=NOUN
intereses                                                    1  POS: token único POS=NOUN
subcontratas                                                 1  POS: token único POS=ADJ
espera de recolocación                                       1  POS: multitoken no-nominal [VERB, ADP, NOUN]
contratación                                                 1  POS: token único POS=NOUN
candidato                                                    1  POS: token único POS=NOUN
interventor                                                  1  POS: token único POS=NOUN
orden                                                        1  POS: token único POS=NOUN
expediente                                                   1  POS: token único POS=NOUN
intercentros                                                 1  POS: token único POS=NOUN
máxima                                                       1  POS: token único POS=ADJ
especialidades                                               1  POS: token único POS=NOUN
negociación                                                  1  POS: token único POS=NOUN
artículos                                                    1  POS: token único POS=NOUN
preavisos                                                    1  POS: token único POS=NOUN
vigilancia                                                   1  POS: token único POS=NOUN
realización                                                  1  POS: token único POS=NOUN
efecto                                                       1  POS: token único POS=NOUN
elegibles                                                    1  POS: token único POS=ADJ
ventura                                                      1  POS: token único POS=NOUN
relaciones                                                   1  POS: token único POS=NOUN
marco                                                        1  POS: token único POS=NOUN
trabajos                                                     1  POS: token único POS=NOUN
tanto                                                        1  POS: token único POS=ADV
compensación                                                 1  POS: token único POS=NOUN
capacidad                                                    1  POS: token único POS=NOUN
autoriza expresa                                             1  POS: multitoken no-nominal [VERB, VERB]
cargo                                                        1  POS: token único POS=NOUN
consentimiento                                               1  POS: token único POS=NOUN
extranjeros                                                  1  POS: token único POS=ADJ
modificaciones                                               1  POS: token único POS=NOUN
motivadora                                                   1  POS: token único POS=ADJ
atención                                                     1  POS: token único POS=NOUN
órganos                                                      1  POS: token único POS=NOUN
formas                                                       1  POS: token único POS=NOUN
perjuicio                                                    1  POS: token único POS=NOUN
conformidad                                                  1  POS: token único POS=NOUN
participación                                                1  POS: token único POS=NOUN
setecientos                                                  1  POS: token único POS=NOUN
preferencia                                                  1  POS: token único POS=NOUN
cuantía                                                      1  POS: token único POS=NOUN
trabajadoras                                                 1  POS: token único POS=NOUN
vencimiento                                                  1  POS: token único POS=NOUN
unidad                                                       1  POS: token único POS=NOUN
mandato                                                      1  POS: token único POS=NOUN
resultase                                                    1  POS: token único POS=VERB
